County,District,School,Assistance Status,Phones,Emails,URL
Los Angeles,Los Angeles Unified,Para Los Niños Middle,CSI Low Perform,['(213) 250-4800'],['vguzman@paralosninos.org'],https://www.paralosninos.org/tk-8education/charter-middle-school/
Los Angeles,Los Angeles Unified,Academia Moderna,CSI Low Perform,"['323-923-0383', '323-707-4696', '323-800-2739', '323-875-9247', '323-800-2739', '323-875-9247', '323-800-2743', '323-8002738', '(323) 923-0383', '(323) 923-0380']",[],https://www.altapublicschools.org/academiamoderna/
Los Angeles,Los Angeles Unified,Valley Charter Middle,CSI Low Perform,"['747-234-3305', '805-265-0350', '747-234-3240', '818-988-9128', '818-988-9265', '818-928-4708', '818-928-4706']",[],https://middle.valleycharterschool.org/
Los Angeles,Los Angeles Unified,PREPA TEC - Los Angeles,CSI Low Perform,"['323.800.2743', '323.800.2743', '323-923-0383', '323-707-4696', '323-800-2739', '323-875-9247', '323-800-2739', '323-875-9247', '323-800-2743', '323-8002738', '(323) 800-2743', '(323) 923-0383', '(323) 923-0380']",['info.hs@prepatec.org'],https://www.altapublicschools.org/prepatechighschool/
Los Angeles,Los Angeles Unified,Ingenium Charter Middle,CSI Low Perform,"['818.309.2777', '818.309.2777', '818.309.2777']",[],https://ingeniumschools.org/icms/
Los Angeles,Los Angeles Unified,KIPP Ignite Academy,CSI Low Perform,"['323.486.6402', '323.486.6403', '323.486.6402', '323.486.6403', '213.489.4461']",[],https://www.kippsocal.org/ignite
Los Angeles,Los Angeles Unified,California Collegiate Charter,CSI Low Perform,,,
Los Angeles,Los Angeles Unified,Ednovate - Brio College Prep,CSI Low Perform,,,
Los Angeles,Los Angeles Unified,Whitney Young Continuation,CSI Low Perform,"['877.202.0338', '(323) 296-3258', '(213) 241-1000']","['wrr7131@lausd.net', 'wrr7131@lausd.net']",https://whitneyyoungcontinuationhighschool-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,CDS Secondary,CSI Low Perform,"['(213) 239-5656', '(213) 627-7959', '(213) 241-2450']","['lmf4058@lausd.net', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331996651
Los Angeles,Los Angeles Unified,Tom Bradley Global Awareness Magnet,CSI Low Perform,"['(323) 292-8195', '(323) 292-8195', '(323) 292-2413', '(213) 241-1000']",[],https://tombradleygam-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,YES Academy,CSI Low Perform,"['(323) 778-4992', '(323) 753-2280', '(323) 394-8469', '(323) 778-4992', '(213) 241-1000']",[],https://yesacademy-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,Western Avenue Technology Magnet,CSI Low Perform,"['(323) 295-3261', '(323) 295-4809', '(213) 241-2450']","['sjs9050@lausd.net', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336019905
Los Angeles,Los Angeles Unified,Hubert Howe Bancroft Middle,CSI Low Perform,"['(323) 993-3400', '(323) 461-8246', '(213) 241-1000']",[],https://bancroftms-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,Charles Drew Middle,CSI Low Perform,"['(323) 826-1700', '(323) 583-6030', '(213) 241-1000']",[],https://drew-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,Bret Harte Preparatory Middle,CSI Low Perform,"['(323) 242-5425', '424-218-9798', '(213) 241-3840', '(323) 242-5400', '(323) 242-5403', '(213) 241-1000']",['srober01@lausd.net'],https://hartems-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,Charles Maclay Middle,CSI Low Perform,"['(818) 686-3800', '(818) 834-1012', '(213) 241-1000']",[],https://maclayms-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,John Muir Middle,CSI Low Perform,[],[],http://www.muirmiddle.org/
Los Angeles,Los Angeles Unified,Northridge Middle,CSI Low Perform,"['818.678.5100', '(818) 678-5100', '(818) 885-1461', '(213) 241-1000']",[],https://www.northridgemiddleschool.org/
Los Angeles,Los Angeles Unified,Van Nuys Middle,CSI Low Perform,,,
Los Angeles,Los Angeles Unified,Marlton,CSI Low Perform,"['(323) 296-7680', '(323) 290-1794', '(213) 241-1000']",['ajm4781@lausd.net'],https://www.marltonschool.org/
Los Angeles,Los Angeles Unified,"Johnnie Cochran, Jr., Middle",CSI Low Perform,"['(323) 730-4300', '(323) 733-9106', '(213) 241-1000']",[],https://cochranms-lausd-ca.schoolloop.com/
Los Angeles,Los Angeles Unified,Pio Pico Middle,CSI Low Perform,"['(323) 733-8801', '(323) 733-8801', '(323) 735-2665']",[],https://www.piopicoms.org/
Santa Clara,Milpitas Unified,Calaveras Hills,CSI Low Perform,"['6399999857', '8199999928', '8199999928', '6399999857', '6399999857', '8199999928', '8199999928', '6399999857', '6399999857', '6999999881', '6399999857', '6399999857', '6399999857', '6399999857', '6399999857', '6399999857', '6399999857', '6399999857', '3404255319', '6053535902', '4035087719', '2456140351', '2456140351', '3014553015', '2456140351', '2456140351', '2456140351', '800-984-3663', '408.635.2690', '408.635.2615', '408.635.2600']",['calhillstranscripts@musd.org'],https://chhs.musd.org/
Los Angeles,Montebello Unified,La Merced Intermediate,CSI Low Perform,"['(323) 722-7262', '(323)887-5816', '3629947263', '3629947263', '(323) 722-7262', '(323) 887-7900']",[],https://lmi-montebellousd-ca.schoolloop.com/
Contra Costa,Mt. Diablo Unified,Diablo Community Day,CSI Low Perform,"['(925-676-6862', '925-676-6862', '925-682-9352', '(925) 676-6862', '(925) 682-9352', '(925) 682-8000']",[],https://dcds-mdusd-ca.schoolloop.com/
Contra Costa,Mt. Diablo Unified,Oak Grove Middle,CSI Low Perform,"['(925) 682-8000', '(925) 682-1843', '(925) 682-2083', '(925) 682-8000']",[],https://ogms-mdusd-ca.schoolloop.com/
Contra Costa,Mt. Diablo Unified,Sunrise (Special Education),CSI Low Perform,"['877-943-5747', '(310) 751-1100', '818.781.0360']","['pjohnson@thehelpgroup.org', 'admissions@thehelpgroup.org']","https://www.thehelpgroup.org/school/sunrise-school/#:~:text=Campus-,Overview,disorder%20and%20other%20developmental%20disabilities.&text=Student%20run%20garden"
Contra Costa,Mt. Diablo Unified,Riverview Middle,CSI Low Perform,,,
Los Angeles,Palmdale Elementary,Yellen Learning Center,CSI Low Perform,,,
Los Angeles,Palmdale Elementary,Palmdale Discovery Center,CSI Low Perform,"['9999999999', '661.947.7191', '661.947.7191', '888.474.8107', '888.474.8107']",['Questions or Feedback?'],https://www.palmdalesd.org/Page/5176
Los Angeles,Palmdale Elementary,Space Aeronautics Gateway to Exploration Magnet Academy,CSI Low Perform,"['(661) 537-6101', '(661) 537-6110', '(661) 537-6101', '(661) 947-7191']","['lslueck@palmdalesd.org', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648570135301
Los Angeles,Palmdale Elementary,"Cactus Medical, Health and Technology Magnet Academy",CSI Low Perform,"['(661) 273-0847', '(661) 273-5514', '(661) 273-0847', '(661) 947-7191']","['apricejr@palmdalesd.org', '']",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648576105613
Los Angeles,Paramount Unified,Paramount Unified Community Day,CSI Low Perform,"['562-602-8084', '562-602-8085', '(562) 602-6000', '(562) 602-6000', '(562) 602-8111']",[],https://www.paramount.k12.ca.us/apps/pages/index.jsp?uREC_ID=51457&type=d
Los Angeles,Paramount Unified,Captain Raymond Collins,CSI Low Perform,"['(562) 602-8008', '(562) 602-8008', '(562) 602-8009']",[],https://collins.pusdschools.net/
Los Angeles,Pasadena Unified,Washington Middle,CSI Low Perform,"['(562) 591-2434', '562-997-8000']","['\nReport an Absence\n    ', '\nReport an Absence\n    ', '\n Report an Absence \n    ']",https://lbwashington.schoolloop.com/
Los Angeles,Pasadena Unified,Woodrow Wilson Middle,CSI Low Perform,"['(818) 244-8145', '(818) 244-2050', '(818) 241-3111', '(818) 241-3111', '(818) 241-3111', '(818) 241-3111', '(818) 244-8145', '(818) 244-2050', '(818) 244-8145', '(818) 244-2050', '(818) 241-3111', '(818) 241-3111', '(818) 241-3111']",['Questions or Feedback?'],https://www.gusd.net/wilson
San Mateo,Ravenswood City Elementary,KIPP Valiant Community Prep,CSI Low Perform,['650-422-4022'],['info@kippbayarea.org'],https://www.kipp.org/school/kipp-valiant-community-prep-5-8/
San Francisco,San Francisco Unified,Brown Jr. (Willie L) Middle,CSI Low Perform,,,
San Francisco,San Francisco Unified,Thomas Edison Charter Academy,CSI Low Perform,"['(415) 970.3330', '(415) 285.0527']","['Ms. Amy Anderson', 'Mr. Andrew Tuomey', 'Ms. Cara Sternberg', 'Mr. Kevin Chávez', 'Mr. JP Davis', 'Mr. Kevin Chávez', 'Ms. Sandra Huerta', 'Mr. Kevin Chávez', 'Ms. Maria Soriano', 'Mr. Kevin Chávez', 'Ms. Heidi Leintz', 'Mr. Andrew Tuomey', 'Mr. Kevin Chávez', 'Ms. Anakarita Allen', 'Anakarita Allen', 'Kevin Chávez']",https://www.teca-sf.org/
San Francisco,San Francisco Unified,Lick (James) Middle,CSI Low Perform,"['415-695-5675', '415-695-5360', '415-695-5675', '415-695-5675', '4153401716', '415-340-1716']",['familylink@sfusd.edu'],https://www.sfusd.edu/school/james-lick-middle-school
San Francisco,San Francisco Unified,Mission Education Center,CSI Low Perform,"['415-695-5313', '415-695-5339', '415-695-5313', '415-695-5313', '4153401716', '415-340-1716']",['familylink@sfusd.edu'],https://www.sfusd.edu/school/mission-education-center-elementary-school
San Francisco,San Francisco Unified,San Francisco Community Alternative,CSI Low Perform,"['(415) 469-4739', '(415) 469-4739', '(415) 469-4739', '(415) 469-4739', '(415) 469-4739', '(415) 337-6879']",['Principal email'],https://www.greatschools.org/california/san-francisco/6430-San-Francisco-Community-Alternative-School/
San Mateo,San Mateo County Office of Education,Gateway Center,CSI Low Perform,,,
San Mateo,San Mateo County Office of Education,Oxford Day Academy,CSI Low Perform,,,
Orange,Santa Ana Unified,Julia C. Lathrop Intermediate,CSI Low Perform,"['714.567.3397', '714.567.3300', '714.567.3300', '714.567.3300', '714.567.3397']",['Questions or Feedback?'],https://www.sausd.us/lathrop
Orange,Santa Ana Unified,REACH Academy,CSI Low Perform,"['714 431-1899', '714 431-1800', '714 431-1800', '714 431-1800', '714 431-1899']",['Questions or Feedback?'],https://www.sausd.us/reachacademy
San Francisco,SBE - OnePurpose,OnePurpose,CSI Low Perform,['(415) 657-0277'],['Joe@onepurposeschool.org'],http://onepurposeschool.org/
Solano,Vallejo City Unified,Solano Middle,CSI Low Perform,"['(707) 556-8600', '707-556-8921']",[],https://soms-vcusd-ca.schoolloop.com/
Contra Costa,West Contra Costa Unified,Summit Public School: Tamalpais,CSI Low Perform,,,
Contra Costa,West Contra Costa Unified,Helms Middle,CSI Low Perform,"['510-231-1423', '510-234-5977', '510-234-5977']","['jpetrilli@wccusd.net', 'willliam.hamilton@wccusd.net', 'psembi@wccusd.net', 'cristina.villalobos@wccusd.net', 'kevin.flint@wccusd.net', 'abiola.awosika@wccusd.net', 'jsegovia@wccusd.net', 'webmaster@wccusd.net', 'Questions or Feedback?']",https://www.wccusd.net/helms
Contra Costa,West Contra Costa Unified,Lovonya DeJean Middle,CSI Low Perform,"['510-307-4580', '510-231-1430', '510-236-6680', '510-236-6680']","['wmcgee@wccusd.net', 'Questions or Feedback?']",https://www.wccusd.net/dejean
